Name,oldest_sequence,newest_sequence,number_taxa
UK5744,2020-05-18,2020-05-18,1
UK4442,2020-05-10,2020-05-24,17
UK5648,2020-05-19,2020-05-19,1
UK5,2020-04-13,2020-05-24,24
UK632,2020-03-24,2020-05-16,2
UK394,2020-05-24,2020-05-24,1
UK52,2020-05-20,2020-05-20,1
UK5662,2020-05-11,2020-05-11,1
UK534,2020-04-13,2020-05-13,7
UK36,2020-05-10,2020-05-10,1
UK494,2020-05-05,2020-05-05,1
UK79,2020-05-05,2020-05-05,1
UK5549,2020-05-10,2020-05-10,1
UK15,2020-03-24,2020-03-24,1
UK462,2020-05-01,2020-05-11,3
UK5532,2020-05-04,2020-05-04,1
UK5314,2020-05-08,2020-05-08,1
UK5445,2020-05-04,2020-05-04,1
UK1667,2020-05-07,2020-05-07,1
UK5446,2020-05-05,2020-05-05,1
UK5705,2020-05-09,2020-05-09,1
UK5448,2020-05-05,2020-05-05,1
UK5207,2020-05-04,2020-05-04,1
UK4520,2020-05-01,2020-05-01,1
UK127,2020-04-29,2020-04-29,1
UK3195,2020-04-27,2020-04-27,1
UK51,2020-04-27,2020-04-27,1
UK162,2020-04-26,2020-04-26,1
UK4,2020-03-25,2020-03-25,1
UK5264,2020-03-24,2020-03-24,1
UK1262,2020-03-24,2020-03-24,1
UK4531,2020-03-23,2020-03-23,1
UK1333,2020-03-23,2020-03-23,1
UK3214,2020-03-24,2020-03-24,1
UK3215,2020-03-24,2020-03-24,1
UK1343,2020-03-22,2020-03-22,1
UK621,2020-03-23,2020-03-23,1
UK4553,2020-03-24,2020-03-24,2
UK3502,2020-04-14,2020-04-14,1
UK5707,2020-04-16,2020-04-16,1
UK1351,2020-04-16,2020-04-16,1
UK3503,2020-04-15,2020-04-15,1
UK90,2020-04-16,2020-04-16,1
UK3897,2020-04-16,2020-04-16,1
UK5478,2020-04-15,2020-04-15,1
