Name,oldest_sequence,newest_sequence,number_taxa
UK800,2020-09-09,2020-09-10,5
UK1103,2020-09-07,2020-09-07,1
UK461,2020-08-27,2020-08-27,1
UK131,2020-03-16,2020-09-07,5
UK511,2020-08-10,2020-08-10,1
UK352,2020-08-05,2020-08-09,12
UK2022,2020-04-02,2020-08-09,17
UK1683,2020-04-29,2020-08-18,20
UK5,2020-03-12,2020-08-27,308
UK199,2020-03-23,2020-08-09,15
UK814,2020-07-30,2020-07-30,1
UK1097,2020-08-06,2020-08-10,7
UK331,2020-07-04,2020-08-09,7
UK1205,2020-03-30,2020-08-09,124
UK1195,2020-07-02,2020-08-05,3
UK1076,2020-07-21,2020-08-06,3
UK1317,2020-08-09,2020-08-09,4
UK1951,2020-03-22,2020-08-09,73
UK1452,2020-08-05,2020-08-05,1
UK109,2020-03-25,2020-08-09,2
UK1146,2020-08-19,2020-09-02,2
UK1660,2020-09-02,2020-09-02,1
UK1271,2020-05-30,2020-08-13,21
UK1134,2020-08-06,2020-08-06,1
UK691,2020-08-09,2020-08-09,1
UK1855,2020-08-09,2020-08-09,1
UK1827,2020-07-31,2020-07-31,2
UK1175,2020-07-29,2020-07-29,1
UK1535,2020-04-04,2020-08-14,7
UK31,2020-03-21,2020-07-23,18
UK597,2020-06-30,2020-06-30,1
UK917,2020-07-10,2020-07-11,2
UK72,2020-03-18,2020-05-05,10
UK175,2020-03-17,2020-06-02,45
UK1145,2020-04-05,2020-04-22,3
UK5676,2020-03-18,2020-05-06,15
UK1212,2020-04-02,2020-04-06,2
UK600,2020-03-28,2020-05-04,31
UK501,2020-04-22,2020-04-22,1
UK2058,2020-04-17,2020-04-23,2
UK39,2020-04-13,2020-05-03,17
UK1346,2020-04-19,2020-04-26,3
UK384,2020-03-14,2020-04-18,7
UK1837,2020-04-22,2020-04-22,1
UK709,2020-04-23,2020-06-29,49
UK4,2020-03-04,2020-04-29,42
UK1323,2020-03-22,2020-07-02,58
UK2098,2020-04-23,2020-04-23,1
UK1060,2020-03-22,2020-04-30,26
UK5741,2020-03-20,2020-04-16,2
UK9,2020-04-14,2020-04-22,2
UK51,2020-03-29,2020-04-14,2
UK1279,2020-04-23,2020-04-23,1
UK513,2020-04-19,2020-04-19,1
UK945,2020-03-28,2020-06-10,8
UK1783,2020-04-21,2020-04-21,1
UK1307,2020-03-17,2020-05-01,29
UK1322,2020-04-05,2020-04-23,2
UK1642,2020-04-20,2020-04-20,1
UK2913,2020-03-30,2020-06-29,7
UK1619,2020-06-09,2020-07-01,2
UK1153,2020-06-29,2020-06-29,1
UK478,2020-04-10,2020-07-01,6
UK2464,2020-03-18,2020-06-18,81
UK387,2020-03-24,2020-06-22,6
UK2916,2020-03-25,2020-06-29,14
UK1759,2020-06-24,2020-06-24,1
UK591,2020-04-14,2020-05-03,3
UK180,2020-04-16,2020-04-16,1
UK894,2020-05-30,2020-05-30,1
