Lineage,Days,England,Scotland,Wales,Northern Ireland
UK53,2020-03-26,2,0,0,0
UK53,2020-03-26,2,0,0,0
UK53,2020-03-28,1,0,0,0
UK53,2020-03-30,1,0,0,0
UK53,2020-03-31,2,0,0,0
UK53,2020-03-31,2,0,0,0
UK53,2020-04-01,2,0,0,0
UK53,2020-04-01,2,0,0,0
UK53,2020-04-18,1,0,0,0
UK53,2020-04-23,1,0,0,0
UK494,2020-03-26,1,0,0,0
UK494,2020-03-27,2,0,0,0
UK494,2020-03-27,2,0,0,0
UK494,2020-03-28,1,0,0,0
UK494,2020-03-29,1,0,0,0
UK494,2020-03-31,1,0,0,0
UK494,2020-04-01,4,0,0,0
UK494,2020-04-01,4,0,0,0
UK494,2020-04-01,4,0,0,0
UK494,2020-04-01,4,0,0,0
UK494,2020-04-28,1,0,0,0
UK66,2020-03-28,2,0,0,0
UK66,2020-03-28,2,0,0,0
UK66,2020-03-30,1,0,0,0
UK66,2020-04-08,1,0,0,0
UK66,2020-04-09,1,0,0,0
UK66,2020-04-21,1,0,0,0
UK66,2020-04-24,1,0,0,0
UK66,2020-04-28,3,0,0,0
UK66,2020-04-28,3,0,0,0
UK66,2020-04-28,3,0,0,0
UK513,2020-03-12,1,0,0,0
UK513,2020-03-17,1,0,0,0
UK513,2020-03-18,1,0,0,0
UK513,2020-03-26,1,0,0,0
UK513,2020-03-27,1,0,0,0
UK513,2020-03-30,1,0,0,0
UK513,2020-03-31,1,0,0,0
UK513,2020-04-08,1,0,0,0
UK513,2020-04-15,1,0,0,0
UK513,2020-04-29,1,0,0,0
UK89,2020-03-11,3,0,0,0
UK89,2020-03-11,3,0,0,0
UK89,2020-03-11,3,0,0,0
UK89,2020-03-21,1,0,0,0
UK89,2020-03-23,1,0,0,0
UK89,2020-03-25,3,0,0,0
UK89,2020-03-25,3,0,0,0
UK89,2020-03-25,3,0,0,0
UK89,2020-03-27,1,0,0,0
UK89,2020-03-28,1,0,0,0
UK89,2020-04-01,1,0,0,0
UK89,2020-04-04,2,0,0,0
UK89,2020-04-04,2,0,0,0
UK89,2020-04-15,2,0,0,0
UK89,2020-04-15,2,0,0,0
UK89,2020-04-30,5,0,0,0
UK89,2020-04-30,5,0,0,0
UK89,2020-04-30,5,0,0,0
UK89,2020-04-30,5,0,0,0
UK89,2020-04-30,5,0,0,0
UK2916,2020-02-03,3,0,0,0
UK2916,2020-02-03,3,0,0,0
UK2916,2020-02-03,3,0,0,0
UK2916,2020-02-14,1,0,0,0
UK2916,2020-02-24,1,0,0,0
UK2916,2020-02-27,6,0,0,0
UK2916,2020-02-27,6,0,0,0
UK2916,2020-02-27,6,0,0,0
UK2916,2020-02-27,6,0,0,0
UK2916,2020-02-27,6,0,0,0
UK2916,2020-02-27,6,0,0,0
UK2916,2020-02-28,1,0,0,0
UK2916,2020-02-29,6,0,0,0
UK2916,2020-02-29,6,0,0,0
UK2916,2020-02-29,6,0,0,0
UK2916,2020-02-29,6,0,0,0
UK2916,2020-02-29,6,0,0,0
UK2916,2020-02-29,6,0,0,0
UK2916,2020-03-01,5,0,0,0
UK2916,2020-03-01,5,0,0,0
UK2916,2020-03-01,5,0,0,0
UK2916,2020-03-01,5,0,0,0
UK2916,2020-03-01,5,0,0,0
UK2916,2020-03-02,9,0,0,0
UK2916,2020-03-02,9,0,0,0
UK2916,2020-03-02,9,0,0,0
UK2916,2020-03-02,9,0,0,0
UK2916,2020-03-02,9,0,0,0
UK2916,2020-03-02,9,0,0,0
UK2916,2020-03-02,9,0,0,0
UK2916,2020-03-02,9,0,0,0
UK2916,2020-03-02,9,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-03,17,0,0,0
UK2916,2020-03-04,14,0,0,0
UK2916,2020-03-04,14,0,0,0
UK2916,2020-03-04,14,0,0,0
UK2916,2020-03-04,14,0,0,0
UK2916,2020-03-04,14,0,0,0
UK2916,2020-03-04,14,0,0,0
UK2916,2020-03-04,14,0,0,0
