Name,oldest_sequence,newest_sequence,number_taxa
UK1097,2020-08-31,2020-08-31,1
UK924,2020-08-29,2020-08-29,1
UK510,2020-08-26,2020-08-26,1
UK21,2020-03-18,2020-05-23,28
UK873,2020-04-04,2020-04-04,1
UK498,2020-08-20,2020-08-31,4
UK719,2020-03-30,2020-05-21,7
UK1195,2020-08-01,2020-08-24,69
UK1683,2020-03-18,2020-05-13,25
UK387,2020-03-12,2020-04-04,4
UK254,2020-08-19,2020-08-19,1
UK775,2020-05-05,2020-08-29,2
UK1225,2020-08-23,2020-08-23,1
UK2068,2020-04-16,2020-05-25,40
UK199,2020-03-20,2020-06-25,157
UK1437,2020-04-08,2020-05-14,41
UK107,2020-03-21,2020-05-05,20
UK5,2020-03-11,2020-08-21,93
UK109,2020-03-21,2020-06-12,269
UK312,2020-08-04,2020-08-04,1
UK1884,2020-05-02,2020-05-15,2
UK1363,2020-08-04,2020-08-04,1
UK1145,2020-08-03,2020-08-03,1
UK175,2020-03-04,2020-08-03,67
UK336,2020-03-21,2020-05-22,207
UK167,2020-03-24,2020-05-15,15
UK2464,2020-03-20,2020-05-22,39
UK2007,2020-04-30,2020-04-30,1
UK1060,2020-03-23,2020-07-16,5
UK40,2020-04-03,2020-05-05,2
UK5676,2020-03-09,2020-05-07,29
UK187,2020-03-31,2020-06-05,20
UK369,2020-05-28,2020-05-28,1
UK501,2020-05-17,2020-05-19,2
UK1964,2020-04-16,2020-06-02,42
UK1418,2020-05-18,2020-05-18,1
UK2913,2020-03-28,2020-06-06,59
UK1951,2020-03-29,2020-05-27,26
UK6,2020-03-23,2020-05-09,6
UK512,2020-04-07,2020-05-13,11
UK437,2020-05-14,2020-05-14,1
UK1212,2020-04-02,2020-05-13,4
UK1029,2020-05-05,2020-05-13,2
UK1289,2020-03-30,2020-05-11,4
UK1667,2020-03-31,2020-05-18,26
UK1254,2020-03-22,2020-05-21,74
UK350,2020-05-07,2020-05-08,2
UK436,2020-04-13,2020-05-14,12
UK1486,2020-05-11,2020-05-11,1
UK1033,2020-06-15,2020-06-15,1
UK4493,2020-04-23,2020-05-19,26
UK527,2020-05-12,2020-05-12,1
UK14,2020-03-21,2020-05-21,11
UK1218,2020-06-13,2020-06-13,1
UK2916,2020-03-04,2020-05-18,10
UK787,2020-04-12,2020-04-12,1
UK1399,2020-05-06,2020-05-06,1
UK31,2020-03-30,2020-04-12,2
UK678,2020-04-11,2020-04-11,1
UK601,2020-03-25,2020-04-09,2
UK1135,2020-04-08,2020-04-08,1
UK959,2020-04-02,2020-04-02,1
UK245,2020-04-25,2020-04-27,5
UK1180,2020-03-31,2020-03-31,1
UK502,2020-03-30,2020-03-30,2
UK1335,2020-03-29,2020-03-29,1
UK1723,2020-03-31,2020-03-31,1
UK679,2020-03-30,2020-03-30,1
UK832,2020-04-02,2020-04-16,3
UK1767,2020-03-31,2020-03-31,1
UK740,2020-03-28,2020-05-20,15
UK306,2020-04-16,2020-04-20,2
UK1462,2020-04-03,2020-04-03,1
UK1354,2020-03-30,2020-03-30,1
UK267,2020-03-23,2020-03-30,2
UK1124,2020-04-20,2020-04-20,1
UK1011,2020-03-31,2020-03-31,1
UK425,2020-03-31,2020-03-31,1
UK157,2020-05-15,2020-05-15,1
UK628,2020-04-24,2020-04-24,1
UK171,2020-04-01,2020-04-12,2
UK625,2020-04-02,2020-04-02,1
UK1438,2020-05-08,2020-05-08,1
UK1330,2020-04-27,2020-04-27,1
UK189,2020-04-04,2020-05-03,2
UK945,2020-03-18,2020-05-02,19
UK44,2020-03-25,2020-05-01,23
UK1250,2020-04-25,2020-04-25,1
UK133,2020-03-22,2020-04-25,6
UK522,2020-03-23,2020-04-24,4
UK1487,2020-04-05,2020-04-22,10
UK341,2020-04-22,2020-04-22,1
UK558,2020-04-22,2020-04-22,1
UK1458,2020-04-23,2020-04-23,1
UK214,2020-04-12,2020-04-22,2
