Lineage,Days,England,Scotland,Wales,Northern Ireland
UK540,2020-04-09,1,0,0,0
UK540,2020-04-11,2,0,0,0
UK540,2020-04-11,2,0,0,0
UK540,2020-04-15,1,0,0,0
UK540,2020-04-16,1,0,0,0
UK540,2020-04-19,1,0,0,0
UK540,2020-04-22,1,0,0,0
UK5663,2020-04-11,1,0,0,0
UK5663,2020-04-16,4,0,0,0
UK5663,2020-04-16,4,0,0,0
UK5663,2020-04-16,4,0,0,0
UK5663,2020-04-16,4,0,0,0
UK5663,2020-04-18,2,0,0,0
UK5663,2020-04-18,2,0,0,0
UK5663,2020-04-24,1,0,0,0
UK5663,2020-04-30,1,0,0,0
UK28,2020-04-13,1,0,0,0
UK28,2020-04-14,1,0,0,0
UK28,2020-04-18,1,0,0,0
UK28,2020-04-22,2,0,0,0
UK28,2020-04-22,2,0,0,0
UK28,2020-04-26,1,0,0,0
UK28,2020-04-29,1,0,0,0
UK28,2020-05-01,1,0,0,0
UK173,2020-04-13,1,0,0,0
UK173,2020-04-26,1,0,0,0
UK173,2020-04-30,1,0,0,0
UK173,2020-05-01,1,0,0,0
UK173,2020-05-05,2,0,0,0
UK173,2020-05-05,2,0,0,0
UK173,2020-05-06,1,0,0,0
UK415,2020-04-19,2,0,0,0
UK415,2020-04-19,2,0,0,0
UK415,2020-04-21,1,0,0,0
UK415,2020-04-22,3,0,0,0
UK415,2020-04-22,3,0,0,0
UK415,2020-04-22,3,0,0,0
UK415,2020-04-25,1,0,0,0
UK415,2020-04-29,2,0,0,0
UK415,2020-04-29,2,0,0,0
UK415,2020-04-30,1,0,0,0
UK415,2020-05-06,1,0,0,0
UK91,2020-04-14,1,0,0,0
UK91,2020-04-18,1,0,0,0
UK91,2020-04-21,1,0,0,0
UK91,2020-04-27,1,0,0,0
UK91,2020-05-01,1,0,0,0
UK91,2020-05-03,1,0,0,0
UK91,2020-05-05,1,0,0,0
UK91,2020-05-06,1,0,0,0
UK278,2020-04-10,1,0,0,0
UK278,2020-04-11,2,0,0,0
UK278,2020-04-11,2,0,0,0
UK278,2020-04-12,1,0,0,0
UK278,2020-04-19,2,0,0,0
UK278,2020-04-19,2,0,0,0
UK278,2020-04-20,2,0,0,0
UK278,2020-04-20,2,0,0,0
UK278,2020-04-22,1,0,0,0
UK278,2020-05-03,2,0,0,0
UK278,2020-05-03,2,0,0,0
UK278,2020-05-06,1,0,0,0
UK376,2020-04-08,1,0,0,0
UK376,2020-04-18,1,0,0,0
UK376,2020-04-19,1,0,0,0
UK376,2020-04-23,6,0,0,0
UK376,2020-04-23,6,0,0,0
UK376,2020-04-23,6,0,0,0
UK376,2020-04-23,6,0,0,0
UK376,2020-04-23,6,0,0,0
UK376,2020-04-23,6,0,0,0
UK376,2020-04-25,1,0,0,0
UK376,2020-04-29,2,0,0,0
UK376,2020-04-29,2,0,0,0
UK376,2020-05-08,1,0,0,0
UK5112,2020-05-05,3,0,0,0
UK5112,2020-05-05,3,0,0,0
