Lineage,Days,England,Scotland,Wales,Northern Ireland
UK407,2020-08-29,0,10,0,0
UK407,2020-08-29,0,10,0,0
UK407,2020-08-29,0,10,0,0
UK407,2020-08-29,0,10,0,0
UK407,2020-08-29,0,10,0,0
UK407,2020-08-29,0,10,0,0
UK407,2020-08-29,0,10,0,0
UK407,2020-08-29,0,10,0,0
UK407,2020-08-29,0,10,0,0
UK407,2020-08-29,0,10,0,0
UK407,2020-08-30,0,8,0,0
UK407,2020-08-30,0,8,0,0
UK407,2020-08-30,0,8,0,0
UK407,2020-08-30,0,8,0,0
UK407,2020-08-30,0,8,0,0
UK407,2020-08-30,0,8,0,0
UK407,2020-08-30,0,8,0,0
UK407,2020-08-30,0,8,0,0
UK407,2020-08-31,0,9,0,0
UK407,2020-08-31,0,9,0,0
UK407,2020-08-31,0,9,0,0
UK407,2020-08-31,0,9,0,0
UK407,2020-08-31,0,9,0,0
UK407,2020-08-31,0,9,0,0
UK407,2020-08-31,0,9,0,0
UK407,2020-08-31,0,9,0,0
UK407,2020-08-31,0,9,0,0
UK1186,2020-08-24,0,1,0,0
UK1186,2020-08-29,0,7,0,0
UK1186,2020-08-29,0,7,0,0
UK1186,2020-08-29,0,7,0,0
UK1186,2020-08-29,0,7,0,0
UK1186,2020-08-29,0,7,0,0
UK1186,2020-08-29,0,7,0,0
UK1186,2020-08-29,0,7,0,0
UK1186,2020-08-30,0,2,0,0
UK1186,2020-08-30,0,2,0,0
UK1186,2020-08-31,0,3,0,0
UK1186,2020-08-31,0,3,0,0
UK1186,2020-08-31,0,3,0,0
UK5,2020-02-28,0,1,0,0
UK5,2020-03-09,0,1,0,0
UK5,2020-03-13,0,2,0,0
UK5,2020-03-13,0,2,0,0
UK5,2020-03-16,0,1,0,0
UK5,2020-03-17,0,2,0,0
UK5,2020-03-17,0,2,0,0
UK5,2020-03-19,0,1,0,0
UK5,2020-03-20,0,1,0,0
UK5,2020-03-21,0,2,0,0
UK5,2020-03-21,0,2,0,0
UK5,2020-03-23,0,2,0,0
UK5,2020-03-23,0,2,0,0
UK5,2020-03-24,0,2,0,0
UK5,2020-03-24,0,2,0,0
UK5,2020-03-25,0,2,0,0
UK5,2020-03-25,0,2,0,0
UK5,2020-03-26,0,5,0,0
UK5,2020-03-26,0,5,0,0
UK5,2020-03-26,0,5,0,0
UK5,2020-03-26,0,5,0,0
UK5,2020-03-26,0,5,0,0
UK5,2020-03-27,0,4,0,0
UK5,2020-03-27,0,4,0,0
UK5,2020-03-27,0,4,0,0
UK5,2020-03-27,0,4,0,0
UK5,2020-03-28,0,2,0,0
UK5,2020-03-28,0,2,0,0
UK5,2020-03-29,0,1,0,0
UK5,2020-03-30,0,2,0,0
UK5,2020-03-30,0,2,0,0
UK5,2020-03-31,0,4,0,0
UK5,2020-03-31,0,4,0,0
UK5,2020-03-31,0,4,0,0
UK5,2020-03-31,0,4,0,0
UK5,2020-04-01,0,3,0,0
UK5,2020-04-01,0,3,0,0
UK5,2020-04-01,0,3,0,0
UK5,2020-04-02,0,2,0,0
UK5,2020-04-02,0,2,0,0
UK5,2020-04-03,0,2,0,0
UK5,2020-04-03,0,2,0,0
UK5,2020-04-05,0,2,0,0
UK5,2020-04-05,0,2,0,0
UK5,2020-04-06,0,1,0,0
UK5,2020-04-07,0,4,0,0
UK5,2020-04-07,0,4,0,0
UK5,2020-04-07,0,4,0,0
UK5,2020-04-07,0,4,0,0
UK5,2020-04-08,0,8,0,0
UK5,2020-04-08,0,8,0,0
UK5,2020-04-08,0,8,0,0
UK5,2020-04-08,0,8,0,0
UK5,2020-04-08,0,8,0,0
UK5,2020-04-08,0,8,0,0
UK5,2020-04-08,0,8,0,0
UK5,2020-04-08,0,8,0,0
UK5,2020-04-09,0,2,0,0
UK5,2020-04-09,0,2,0,0
UK5,2020-04-10,0,4,0,0
UK5,2020-04-10,0,4,0,0
UK5,2020-04-10,0,4,0,0
UK5,2020-04-10,0,4,0,0
UK5,2020-04-11,0,1,0,0
UK5,2020-04-12,0,8,0,0
UK5,2020-04-12,0,8,0,0
UK5,2020-04-12,0,8,0,0
UK5,2020-04-12,0,8,0,0
UK5,2020-04-12,0,8,0,0
UK5,2020-04-12,0,8,0,0
UK5,2020-04-12,0,8,0,0
UK5,2020-04-12,0,8,0,0
UK5,2020-04-13,0,4,0,0
UK5,2020-04-13,0,4,0,0
UK5,2020-04-13,0,4,0,0
UK5,2020-04-13,0,4,0,0
UK5,2020-04-14,0,3,0,0
UK5,2020-04-14,0,3,0,0
UK5,2020-04-14,0,3,0,0
UK5,2020-04-15,0,4,0,0
UK5,2020-04-15,0,4,0,0
UK5,2020-04-15,0,4,0,0
UK5,2020-04-15,0,4,0,0
UK5,2020-04-16,0,1,0,0
UK5,2020-04-17,0,5,0,0
UK5,2020-04-17,0,5,0,0
UK5,2020-04-17,0,5,0,0
UK5,2020-04-17,0,5,0,0
UK5,2020-04-17,0,5,0,0
UK5,2020-04-18,0,5,0,0
UK5,2020-04-18,0,5,0,0
UK5,2020-04-18,0,5,0,0
UK5,2020-04-18,0,5,0,0
UK5,2020-04-18,0,5,0,0
UK5,2020-04-19,0,1,0,0
UK5,2020-04-20,0,6,0,0
UK5,2020-04-20,0,6,0,0
UK5,2020-04-20,0,6,0,0
UK5,2020-04-20,0,6,0,0
UK5,2020-04-20,0,6,0,0
UK5,2020-04-20,0,6,0,0
UK5,2020-04-21,0,7,0,0
UK5,2020-04-21,0,7,0,0
UK5,2020-04-21,0,7,0,0
UK5,2020-04-21,0,7,0,0
UK5,2020-04-21,0,7,0,0
UK5,2020-04-21,0,7,0,0
UK5,2020-04-21,0,7,0,0
UK5,2020-04-22,0,7,0,0
UK5,2020-04-22,0,7,0,0
UK5,2020-04-22,0,7,0,0
UK5,2020-04-22,0,7,0,0
UK5,2020-04-22,0,7,0,0
UK5,2020-04-22,0,7,0,0
UK5,2020-04-22,0,7,0,0
UK5,2020-04-23,0,5,0,0
UK5,2020-04-23,0,5,0,0
UK5,2020-04-23,0,5,0,0
UK5,2020-04-23,0,5,0,0
UK5,2020-04-23,0,5,0,0
UK5,2020-04-24,0,4,0,0
